Product Name,Salt Composition,M.R.P.,Company
LIVIAL TAB 28S,Tibolone,"1,565.63",A.MENARINI INDIA PVT.LTD.
MENOCTYL 40MG TAB 15'S,Oxybutynin,190.31,A.MENARINI INDIA PVT.LTD.
PICLIN PLUS SYRUP 110ML,Sodium Picosulfate + Liquid Paraffin + Milk of Magnesia,75.00,A.MENARINI INDIA PVT.LTD.
DISTACLOR 500MG CAP,Cefaclor,182.81,A.MENARINI INDIA PVT.LTD.
DISTACLOR 125MG TAB,Cefaclor,128.44,A.MENARINI INDIA PVT.LTD.
DISTACLOR DT 250MG TAB,Cefaclor,285.94,A.MENARINI INDIA PVT.LTD.
DISTACLOR 5MG DROP,Cefaclor,86.25,A.MENARINI INDIA PVT.LTD.
DISTACLOR 125MG SUS.,Cefaclor,140.63,A.MENARINI INDIA PVT.LTD.
DISTACLOR 187MG SUS.,Cefaclor,163.13,A.MENARINI INDIA PVT.LTD.
DISTACLOR 750MG CD,Cefaclor,506.25,A.MENARINI INDIA PVT.LTD.
DISTACLOR 375MG CD,Cefaclor,450.00,A.MENARINI INDIA PVT.LTD.
CERAZETTE TAB 28'S,Desogestrel,455.00,A.MENARINI INDIA PVT.LTD.
PYRIDIUM 200 MG TAB 10'S,Phenazopyridine,106.88,A.MENARINI INDIA PVT.LTD.
NASONEX NASAL SPRAY 50MCG,Mometasone Furoate,536.25,A.MENARINI INDIA PVT.LTD.
SINGULAIR 5MG TABS,Montelukast,93.98,A.MENARINI INDIA PVT.LTD.
SINGULAIR 4MG TABS,Montelukast,93.98,A.MENARINI INDIA PVT.LTD.
FOSAVANCE 70MG 5600IU,Alendronic Acid + Cholecalciferol,589.69,A.MENARINI INDIA PVT.LTD.
PICLIN KID SYP 50ML,Sodium Picosulfate,73.13,A.MENARINI INDIA PVT.LTD.
PICLIN SYP 150ML,Sodium Picosulfate + Liquid Paraffin + Milk of Magnesia,156.56,A.MENARINI INDIA PVT.LTD.
PICLIN 10 TAB,Sodium Picosulfate,61.88,A.MENARINI INDIA PVT.LTD.
SUCRAMAL O SUSP 150ML,Sucralfate + Oxetacaine,105.94,A.MENARINI INDIA PVT.LTD.
SUCRAMAL SUSP 200ML,Sucralfate,112.50,A.MENARINI INDIA PVT.LTD.
ESPUMISAN GOLD 10 CAP,Simethicone,64.69,A.MENARINI INDIA PVT.LTD.
FASTUM GEL 30GM,Ketoprofen,94.69,A.MENARINI INDIA PVT.LTD.
ESPUMISAN ENDO 15ML,Simethicone,38.44,A.MENARINI INDIA PVT.LTD.
MENARIF 400 TAB 1,Mifepristone,225.00,A.MENARINI INDIA PVT.LTD.
EMESSA E OIL 100ML,Vitamin E,293.70,A.MENARINI INDIA PVT.LTD.
MENROX DEPIGMENTATION CR.30GM,NEEDS_VERIFICATION,436.10,A.MENARINI INDIA PVT.LTD.
MELALUMIN UNDER EYE SERUM 15ML,NEEDS_VERIFICATION,845.50,A.MENARINI(DERMA)
MELALUMIN UV CREAM 30GM,NEEDS_VERIFICATION,440.55,A.MENARINI(DERMA)
LUHON CREAM 30GM,Luliconazole,351.56,A.MENARINI(DERMA)
G.B.H.C. SOAP 50GM,NEEDS_VERIFICATION,57.84,A.MENARINI(DERMA)
DIPLENE AF CR.20GM,Adapalene,104.06,A.MENARINI(DERMA)
DIPGENTA PLUS CREAM 20GM,Beclometasone Dipropionate + Clotrimazole + Gentamicin,98.44,A.MENARINI(DERMA)
RELIZEMA CREEM 100ML.,NEEDS_VERIFICATION,700.00,A.MENARINI(DERMA)
PAPULEX CLEANSING GEL 100ML,NEEDS_VERIFICATION,534.00,A.MENARINI(DERMA)
OLEMESSA 100ML OIL 100ML,NEEDS_VERIFICATION,190.00,A.MENARINI(DERMA)
DEWDERM SOAP 100G,NEEDS_VERIFICATION,155.75,A.MENARINI(DERMA)
DEWDERM LOTION 100GM,NEEDS_VERIFICATION,335.00,A.MENARINI(DERMA)
HEXILAK ULTRA GEL 15GM,NEEDS_VERIFICATION,925.00,A.MENARINI(DERMA)
ACNELAK SOAP 75GM,Benzoyl Peroxide + Triclosan (anti-acne),137.92,A.MENARINI(DERMA)
DEWDERM LOTION 50GM,NEEDS_VERIFICATION,63.99,A.MENARINI(DERMA)
OLEMESSA BABY SOAP 75GM,NEEDS_VERIFICATION,39.16,A.MENARINI(DERMA)
SCABPER SOAP 75GM,Permethrin,60.52,A.MENARINI(DERMA)
CALAK LOTION 100ML,Calamine,117.00,A.MENARINI(DERMA)
CALAK LOTION 50ML,Calamine,48.75,A.MENARINI(DERMA)
CETRILAK MILD SOLUTION 100ML,NEEDS_VERIFICATION,58.13,A.MENARINI(DERMA)
CETRILAK SOLUTION 0.2 100ML,Chlorhexidine Gluconate,30.84,A.MENARINI(DERMA)
FLONIDA 1%CREAM 10GM,Fluorouracil,122.81,A.MENARINI(DERMA)
FLONIDA 5%CREAM 10GM,Fluorouracil,296.25,A.MENARINI(DERMA)
HEXILAK GEL 10GM,Allium Cepa Extract + Heparin Sodium + Allantoin,273.75,A.MENARINI(DERMA)
HEXILAK GEL 20GM,Allium Cepa Extract + Heparin Sodium + Allantoin,543.75,A.MENARINI(DERMA)
GLYAHA HQ LOTION 50GM,Glycolic Acid + Hydroquinone,208.26,A.MENARINI(DERMA)
GLYAHA KOJ LOTION 30GM,Glycolic Acid + Kojic Acid,219.83,A.MENARINI(DERMA)
GLYAHA LOTION 50GM,Glycolic Acid,425.00,A.MENARINI(DERMA)
PAPULEX CREEM 15GM,Nicotinamide + Zinc PCA,258.10,A.MENARINI(DERMA)
CETRILAK SOAP 75GM,NEEDS_VERIFICATION,80.10,A.MENARINI(DERMA)
U.V.AVO LOTION 30GM,NEEDS_VERIFICATION,177.11,A.MENARINI(DERMA)
DEWDERM CREAM 30GM,NEEDS_VERIFICATION,76.88,A.MENARINI(DERMA)
SCABPER LOTION 30ML,Permethrin,60.66,A.MENARINI(DERMA)
ACNELAK 4 IN1 FACE WASH 100ML,Salicylic Acid + Glycolic Acid + Aloe Vera + Tea Tree Oil,395.00,A.MENARINI(DERMA)
